 , bananas-1-2d, bananas-2-2d, bananas-5-2d, bananas-1-4d, bananas-2-4d, bananas-5-4d, crosses-2d, toy-2d, toy-3d, toy-4d, toy-10d, s2-4.10000.test, sample-1-77k, cod-rna.small, cod-rna
Team 1, 0.02843785285949707, 0.029382705688476562, 0.026269912719726562, 0.06969928741455078, 0.03745579719543457, 0.03796243667602539, 0.034416913986206055, 0.03818631172180176, 0.05581974983215332, 0.03493452072143555, 0.08580493927001953, 0.0323331356048584, 0.34454345703125, 0.1662149429321289, 0.7209150791168213
Team 10, 0.014817476272583008, 0.016210556030273438, 0.01997518539428711, 0.04576992988586426, 0.06464695930480957, 0.05765986442565918, 0.03197312355041504, 0.015731334686279297, 0.05949258804321289, 0.08440136909484863, 0.26079511642456055, 0.02571272850036621, 0.06855201721191406, 57.47087836265564, 364.3505039215088
Team 3, 0.02857934799976647, 0.03289266200590646, 0.035669452998263296, 0.07345225800236221, 0.13587379799719201, 0.17688186700252118, 0.04899627099803183, 0.03337122099765111, 0.1394237280037487, 0.18057359600061318, 2.2966693389971624, 0.034633007999218535, 0.17204537599900505, 1000.0, 1000.0
Team 8, 0.1, 0.1, 0.1, 0.2, 0.4, 0.4, 0.4, 0.1, 0.4, 0.5, 2.4, 0.2, 0.6, 1000.0, 1000.0
